03/15/2022,Online Banking transfer from CHK ,Meals & Entertainment,500.0
03/15/2022,anet kesisoglu CO ID,Meals & Entertainment,69.96
03/15/2022,Online Banking transfer from CHK ,Meals & Entertainment,45.0
03/16/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,1104.1
03/16/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,27.07
03/17/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,1058.24
03/18/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,539.72
03/18/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,196.52
03/18/2022,Porter Ranch Subway IN CO ID,Meals & Entertainment,38.55
03/18/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,6.4
03/21/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,2235.04
03/21/2022,Online Banking transfer from CHK ,Meals & Entertainment,260.0
03/21/2022,SUBWAY CARD PROG DES,Meals & Entertainment,84.74
03/21/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,64.25
03/22/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,547.93
03/22/2022,anet kesisoglu CO ID,Meals & Entertainment,29.46
03/22/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,26.78
03/23/2022,Deposit,Meals & Entertainment,2561.0
03/23/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,955.94
03/23/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,8.65
03/24/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,855.68
03/24/2022,Online Banking transfer from CHK ,Meals & Entertainment,80.0
03/24/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,28.95
03/25/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,776.48
03/25/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,63.4
03/25/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,54.51
03/28/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,2742.65
03/28/2022,Online Banking transfer from CHK ,Meals & Entertainment,220.0
03/28/2022,SUBWAY CARD PROG DES,Meals & Entertainment,102.68
03/28/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,101.33
03/29/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,864.12
03/29/2022,anet kesisoglu CO ID,Meals & Entertainment,77.58
03/29/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,20.41
03/29/2022,LIVING SPACES E COMMERC ,Meals & Entertainment,0.01
03/30/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,759.86
03/30/2022,Online Banking transfer from CHK ,Meals & Entertainment,500.0
03/30/2022,Online Banking transfer from CHK ,Meals & Entertainment,115.0
03/30/2022, REFUND NORTHRIDGE CA DEBIT CARD ,Meals & Entertainment,26.92
03/30/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,19.56
03/31/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,956.52
04/01/2022,Online Banking transfer from CHK ,Meals & Entertainment,1500.0
04/01/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,912.61
04/01/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,301.69
04/01/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,65.8
04/04/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,2254.4
04/04/2022,Online Banking transfer from CHK ,Meals & Entertainment,195.0
04/04/2022,SUBWAY CARD PROG DES,Meals & Entertainment,107.01
04/04/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,87.3
04/05/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,898.42
04/05/2022,anet kesisoglu CO ID,Meals & Entertainment,71.39
04/06/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,822.33
04/06/2022,Online Banking transfer from CHK ,Meals & Entertainment,135.0
04/06/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,72.68
04/07/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,936.8
04/07/2022,Online Banking transfer from CHK ,Meals & Entertainment,60.0
04/07/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,6.55
04/08/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,1064.96
04/08/2022,MCC HOMEOWNERS GW ,Meals & Entertainment,653.06
04/08/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,236.33
04/08/2022,Porter Ranch Subway IN CO ID,Meals & Entertainment,43.12
04/08/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,42.11
04/11/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,2467.83
04/11/2022,SUBWAY CARD PROG DES,Meals & Entertainment,80.54
04/11/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,78.96
04/12/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,797.44
04/12/2022,Online Banking transfer from CHK ,Meals & Entertainment,500.0
04/12/2022,Online Banking transfer from CHK ,Meals & Entertainment,280.0
04/12/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,68.86
04/12/2022,anet kesisoglu CO ID,Meals & Entertainment,15.31
04/13/2022,Deposit,Meals & Entertainment,2498.67
04/13/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,849.04
04/13/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,3.72
04/14/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,832.63
04/14/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,5.86
04/15/2022,Porter Ranch Subway in CO ID,Meals & Entertainment,1084.6
04/15/2022,PORTER RANCH SUBWAY IN CO ID,Meals & Entertainment,226.15
